"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/07/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/08/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/09/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/10/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/11/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/12/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/13/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/14/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/15/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/16/2021","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/17/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/18/2021","80","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/19/2021","101","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/20/2021","140","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/21/2021","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/22/2021","80","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/23/2021","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/24/2021","30","PM2.5","Near Road","11-001-0051","AQS"
"05/25/2021","43","PM2.5","Near Road","11-001-0051","AQS"
"05/26/2021","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/27/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/28/2021","42","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"05/29/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
