,time,pblh(m)
447,2012-03-23,1402.624
448,2012-03-24,404.0238
449,2012-03-25,775.3036
450,2012-03-26,2068.704
451,2012-03-27,1845.7075
452,2012-03-28,1216.7764
453,2012-03-29,1686.2017
454,2012-03-30,955.02045
455,2012-03-31,779.4601
456,2012-04-01,1256.1073
457,2012-04-02,1651.4429
458,2012-04-03,1214.1266
459,2012-04-04,1652.43
460,2012-04-05,2034.9844
461,2012-04-06,2288.0115
462,2012-04-07,2098.4229
463,2012-04-08,3016.0752
464,2012-04-09,2869.143
465,2012-04-10,3378.7822
466,2012-04-11,2775.6733
467,2012-04-12,2642.5615
468,2012-04-13,2144.56
469,2012-04-14,2202.6992
470,2012-04-15,2141.2869
471,2012-04-16,2334.3047
472,2012-04-17,1445.2283
473,2012-04-18,704.69495
474,2012-04-19,1419.406
475,2012-04-20,1423.2507
476,2012-04-21,2360.4907
477,2012-04-22,753.68976
478,2012-04-23,1340.1726
479,2012-04-24,3208.21
480,2012-04-25,3418.0613
481,2012-04-26,824.4542
482,2012-04-27,2008.1229
483,2012-04-28,1033.6304
484,2012-04-29,1663.081
485,2012-04-30,1061.6868
486,2012-05-01,2108.087
487,2012-05-02,1080.3911
488,2012-05-03,1086.9895
489,2012-05-04,1076.7021
490,2012-05-05,1654.872
491,2012-05-06,981.41425
492,2012-05-07,1328.6383
493,2012-05-08,1117.5918
494,2012-05-09,962.8139
495,2012-05-10,2367.2969
496,2012-05-11,2993.3706
497,2012-05-12,1954.0364
498,2012-05-13,1912.7311
499,2012-05-14,786.73395
500,2012-05-15,1304.2188
501,2012-05-16,2306.8716
502,2012-05-17,1365.2156
503,2012-05-18,1593.4596
504,2012-05-19,1886.0775
505,2012-05-20,1665.9386
506,2012-05-21,1155.6758
507,2012-05-22,1134.6334
508,2012-05-23,1014.4065
509,2012-05-24,1533.1903
510,2012-05-25,1300.5819
511,2012-05-26,1386.8293
512,2012-05-27,1586.3936
513,2012-05-28,2044.96
514,2012-05-29,1841.8108
515,2012-05-30,1541.7112
516,2012-05-31,2373.5317
517,2012-06-01,1492.7163
518,2012-06-02,2448.4006
519,2012-06-03,2561.8733
520,2012-06-04,2180.7217
521,2012-06-05,1857.6575
522,2012-06-06,2119.1016
523,2012-06-07,2417.3308
524,2012-06-08,2760.71
525,2012-06-09,2815.8877
526,2012-06-10,2637.6775
527,2012-06-11,2262.8127
528,2012-06-12,1028.6426
529,2012-06-13,1719.038
530,2012-06-14,1627.1792
531,2012-06-15,2013.8381
532,2012-06-16,2014.2018
533,2012-06-17,1314.3503
534,2012-06-18,908.88324
535,2012-06-19,1653.1573
536,2012-06-20,2107.983
537,2012-06-21,2159.8872
538,2012-06-22,2374.1553
539,2012-06-23,2743.253
540,2012-06-24,2530.128
541,2012-06-25,2573.6675
542,2012-06-26,2647.809
543,2012-06-27,3179.7378
544,2012-06-28,2261.7217
545,2012-06-29,2762.2688
546,2012-06-30,2730.8872
547,2012-07-01,2676.0732
