Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
02/05/2012,64,1411.093,11,24,58,0,1.1,29
02/06/2012,58,1003.33984,14,27,64,0,3.6,43
02/07/2012,64,1195.0066,14,30,60,0,4.7,42
02/08/2012,60,502.63684,15,12,57,0,2.6,40
02/09/2012,57,1109.5386,14,29,55,0,5.7,44
02/10/2012,55,1148.8175,19,21,55,0,0,39
02/11/2012,55,1272.8372,11,30,51,0,1.6,28
02/12/2012,51,1841.1873,9,31,56,0,1.8,9
02/13/2012,56,1308.739,11,28,66,0,3.3,40
02/14/2012,66,1512.8754,11,32,63,0,5.9,46
02/15/2012,63,1291.0739,11,28,60,0,0,42
02/16/2012,60,754.9367,11,12,61,0,2.5,42
02/17/2012,61,1641.9868,10,34,62,0,0,31
02/18/2012,62,2082.7842,11,34,52,0,4,41
02/19/2012,52,1220.3093,9,30,58,0,4,22
02/20/2012,58,1067.6617,10,30,59,0,0,41
02/21/2012,59,1239.6371,14,31,57,0,5.1,53
02/22/2012,57,2104.1902,14,34,52,0,1.7,39
02/23/2012,52,2210.9084,11,37,59,0,1.3,40
02/24/2012,59,506.68945,14,31,54,0,1.9,29
02/25/2012,54,2533.6091,13,31,55,0,0,7
02/26/2012,55,1983.5476,13,34,58,0,0.5,25
02/27/2012,58,1248.21,13,39,57,0,2.3,32
02/28/2012,57,1016.7965,13,30,57,0,2.8,33
02/29/2012,57,630.39746,14,19,58,0,1.1,40
03/01/2012,58,2242.7576,13,41,54,0,0,29
03/02/2012,54,996.16986,11,21,50,0,0,42
03/03/2012,50,1850.9551,11,34,56,0,1.6,25
03/04/2012,56,2179.4229,10,35,60,0,0.8,9
03/05/2012,60,1879.0115,11,31,56,0,4,36
03/06/2012,56,1498.7952,11,30,60,0,2.6,33
03/07/2012,60,1306.9205,10,38,55,0,0,26
03/08/2012,55,2055.2993,10,33,56,0,0,18
03/09/2012,56,2262.501,10,38,52,0,0,13
03/10/2012,52,1434.4733,10,38,55,0,0,19
03/11/2012,55,974.03644,10,43,60,0,0,21
03/12/2012,60,1140.7123,11,40,63,0,0,37
03/13/2012,63,2012.6951,15,36,60,0,0,34
03/14/2012,60,1919.1217,16,50,59,0,2.2,49
03/15/2012,59,702.9284,15,44,80,0,0,44
03/16/2012,80,686.77,17,30,75,0,0,56
03/17/2012,75,1110.7854,18,45,47,0,0,51
03/18/2012,47,894.0757,11,38,32,0,0,34
03/19/2012,45,1414.3662,11,44,30,0,0,45
03/20/2012,52,965.1519,15,32,52,0,3.3,52
03/21/2012,52,790.89044,14,27,81,0,0,36
03/22/2012,81,1276.5261,14,37,72,0,1.8,28
03/23/2012,72,1402.624,14,49,64,0,8.7,32
03/24/2012,64,404.0238,13,32,35,0,0,12
03/25/2012,35,775.3036,13,28,24,0,0,25
03/26/2012,44,2068.704,11,44,22,0,4.4,25
03/27/2012,41,1845.7075,11,41,46,0,2.1,35
03/28/2012,46,1216.7764,11,43,27,0,3,32
03/29/2012,54,1686.2017,8,54,30,0,0,17
03/30/2012,35,955.02045,8,24,50,0,2.8,35
03/31/2012,50,779.4601,8,31,41,0,0,30
