"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/16/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/17/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/18/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/19/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/20/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/21/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/22/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/23/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/24/2019","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/25/2019","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/26/2019","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/27/2019","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/28/2019","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/29/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/30/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/01/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/02/2019","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/03/2019","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/04/2019","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/05/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/06/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/07/2019","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/08/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/09/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/10/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/11/2019","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/12/2019","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/13/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/14/2019","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/15/2019","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/16/2019","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/17/2019","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/18/2019","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/19/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/20/2019","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/21/2019","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/22/2019","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/23/2019","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/24/2019","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/25/2019","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/26/2019","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/27/2019","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/28/2019","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/29/2019","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/30/2019","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/31/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/01/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/02/2020","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/07/2020","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/08/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/09/2020","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/10/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/11/2020","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/12/2020","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/13/2020","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/14/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/15/2020","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/16/2020","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/17/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
