SITE_ID,DATE,AQI_TRUE
BEL116,02/16/2012,56
BEL116,02/17/2012,57
BEL116,02/18/2012,54
BEL116,02/19/2012,44
BEL116,02/20/2012,46
BEL116,02/21/2012,54
BEL116,02/22/2012,38
BEL116,02/23/2012,39
BEL116,02/24/2012,45
BEL116,02/25/2012,32
BEL116,02/26/2012,36
BEL116,02/27/2012,43
BEL116,02/28/2012,40
BEL116,02/29/2012,47
BEL116,03/01/2012,43
BEL116,03/02/2012,33
BEL116,03/03/2012,37
BEL116,03/04/2012,36
BEL116,03/05/2012,34
BEL116,03/06/2012,33
BEL116,03/07/2012,44
BEL116,03/08/2012,39
BEL116,03/09/2012,39
BEL116,03/10/2012,40
BEL116,03/11/2012,46
BEL116,03/12/2012,47
BEL116,03/13/2012,45
BEL116,03/14/2012,51
BEL116,03/15/2012,58
BEL116,03/16/2012,71
BEL116,03/17/2012,70
BEL116,03/18/2012,43
BEL116,03/19/2012,40
BEL116,03/20/2012,44
BEL116,03/21/2012,35
BEL116,03/22/2012,55
BEL116,03/23/2012,61
BEL116,03/24/2012,59
BEL116,03/25/2012,33
BEL116,03/26/2012,42
BEL116,03/27/2012,42
BEL116,03/28/2012,46
BEL116,03/29/2012,38
BEL116,03/30/2012,34
BEL116,03/31/2012,58
BEL116,04/01/2012,43
BEL116,04/02/2012,46
BEL116,04/03/2012,50
BEL116,04/04/2012,64
BEL116,04/05/2012,40
BEL116,04/06/2012,47
BEL116,04/07/2012,50
BEL116,04/08/2012,77
BEL116,04/09/2012,49
BEL116,04/10/2012,58
BEL116,04/11/2012,31
BEL116,04/12/2012,38
BEL116,04/13/2012,47
BEL116,04/14/2012,74
BEL116,04/15/2012,100
BEL116,04/16/2012,70
BEL116,04/17/2012,44
BEL116,04/18/2012,34
BEL116,04/19/2012,57
BEL116,04/20/2012,61
BEL116,04/21/2012,51
BEL116,04/22/2012,28
BEL116,04/23/2012,31
BEL116,04/24/2012,50
BEL116,04/25/2012,50
BEL116,04/26/2012,53
BEL116,04/27/2012,44
BEL116,04/28/2012,36
BEL116,04/29/2012,51
BEL116,04/30/2012,58
BEL116,05/01/2012,47
BEL116,05/02/2012,62
BEL116,05/03/2012,56
BEL116,05/04/2012,58
BEL116,05/05/2012,58
BEL116,05/06/2012,41
BEL116,05/07/2012,45
BEL116,05/08/2012,45
BEL116,05/09/2012,54
BEL116,05/10/2012,44
BEL116,05/11/2012,50
BEL116,05/12/2012,101
BEL116,05/13/2012,84
BEL116,05/14/2012,46
BEL116,05/15/2012,46
BEL116,05/16/2012,93
BEL116,05/17/2012,51
BEL116,05/18/2012,77
BEL116,05/19/2012,100
BEL116,05/20/2012,61
BEL116,05/21/2012,30
BEL116,05/22/2012,44
BEL116,05/23/2012,55
BEL116,05/24/2012,67
BEL116,05/25/2012,56
BEL116,05/26/2012,46
BEL116,05/27/2012,40
BEL116,05/28/2012,54
BEL116,05/29/2012,44
BEL116,05/30/2012,51
BEL116,05/31/2012,115
BEL116,06/01/2012,52
BEL116,06/02/2012,46
BEL116,06/03/2012,58
BEL116,06/04/2012,33
BEL116,06/05/2012,37
BEL116,06/06/2012,45
BEL116,06/07/2012,46
BEL116,06/08/2012,48
BEL116,06/09/2012,100
BEL116,06/10/2012,150
BEL116,06/11/2012,77
BEL116,06/12/2012,45
BEL116,06/13/2012,48
BEL116,06/14/2012,64
BEL116,06/15/2012,67
BEL116,06/16/2012,61
BEL116,06/17/2012,50
BEL116,06/18/2012,43
