Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
08/20/2013,61,1699.872,9,61,55,6,3.6,15
08/21/2013,55,1516.2306,7,44,37,6,2,18
08/22/2013,48,1821.8047,8,48,55,6,0.8,13
08/23/2013,55,913.77673,8,28,34,6,0.9,28
08/24/2013,44,2268.5027,8,44,33,12,0.9,22
08/25/2013,54,1870.7368,7,54,41,14,1,16
08/26/2013,47,1816.6093,7,47,75,14,0,13
08/27/2013,75,1880.1204,7,71,58,19,0,21
08/28/2013,58,431.02905,6,31,60,22,1,18
08/29/2013,77,1360.3157,7,77,52,21,1.9,23
08/30/2013,58,1553.6586,6,58,51,12,1.5,16
08/31/2013,51,1649.8795,5,47,45,14,0.9,8
05/01/2014,47,1759.6917,10,47,30,15,0.8,25
05/02/2014,44,2287.1382,6,44,34,14,1.4,23
05/03/2014,49,2284.4526,7,49,27,15,1.3,30
05/04/2014,49,2734.99,7,49,20,18,0.5,19
05/05/2014,44,1491.3679,8,44,29,7,0.9,12
05/06/2014,51,2079.7432,8,51,40,14,0.8,33
05/07/2014,40,814.24115,8,30,63,16,1.1,29
05/08/2014,71,1644.79,8,71,59,33,1.3,26
05/09/2014,59,570.7908,9,41,43,19,0.4,9
05/10/2014,43,1305.7644,3,37,33,15,0.4,15
05/11/2014,80,1720.1144,3,80,55,15,1.3,25
05/12/2014,58,1625.1115,7,58,52,23,1.5,21
05/13/2014,101,1780.955,10,101,51,24,1.3,24
05/14/2014,51,616.8394,9,27,47,13,0.6,13
05/15/2014,47,1383.5101,7,31,24,21,1.2,16
05/16/2014,40,1422.7351,6,40,38,8,0.3,13
05/17/2014,47,2317.0303,6,47,23,10,1.3,28
05/18/2014,48,2357.0916,6,48,38,8,1.5,19
05/19/2014,61,2713.9028,6,61,48,15,1.7,20
05/20/2014,93,1970.8727,9,93,59,17,1.2,22
05/21/2014,59,968.3237,10,43,59,24,1.7,28
05/22/2014,71,2105.2327,7,71,27,22,0.5,21
05/23/2014,54,2473.9302,7,54,28,12,0.7,8
05/24/2014,42,2042.7632,6,42,38,6,0.8,14
05/25/2014,49,2603.8877,7,49,47,12,0.6,31
05/26/2014,67,2166.3813,7,67,58,16,1,20
05/27/2014,74,1952.5149,7,74,52,22,0.6,25
05/28/2014,52,1693.7883,7,48,17,19,1.4,11
05/29/2014,22,601.38715,7,22,23,5,,16
05/30/2014,39,1484.0159,9,39,26,9,0.6,18
05/31/2014,45,2510.2937,7,45,35,15,2.7,10
06/01/2014,50,1927.3774,3,50,32,12,2.5,12
06/02/2014,54,1344.3732,5,54,53,19,1.7,15
06/03/2014,53,1951.5903,10,47,52,23,1.4,21
06/04/2014,97,2327.1116,9,97,30,19,0.9,19
06/05/2014,47,2027.2668,6,47,31,9,2,8
06/06/2014,41,2023.2607,5,37,38,13,4.9,41
06/07/2014,48,2212.21,7,48,54,11,1.6,35
06/08/2014,54,1609.8353,5,54,59,15,1.1,14
06/09/2014,59,1232.9054,7,54,56,22,1.7,13
06/10/2014,56,922.3631,10,47,40,20,0.7,22
06/11/2014,43,1267.2438,7,43,20,16,0.6,18
06/12/2014,23,667.0263,7,23,37,6,0.3,18
06/13/2014,37,702.4653,6,37,38,15,1.1,15
06/14/2014,44,1731.8687,5,44,26,14,1.4,10
06/15/2014,51,1422.1188,5,51,58,12,1.6,12
06/16/2014,140,2485.9487,8,140,62,22,2.1,28
06/17/2014,84,2393.9395,7,84,73,20,1.3,18
06/18/2014,73,2192.8396,8,67,49,34,0.6,18
06/19/2014,49,1877.0144,6,44,33,17,0.9,26
06/20/2014,50,1723.7244,8,50,50,12,1,18
06/21/2014,50,708.01227,5,48,48,14,0.6,25
06/22/2014,74,1969.4199,5,74,34,14,0.5,12
06/23/2014,54,1895.8566,3,54,33,15,1.2,18
06/24/2014,47,1429.7789,3,47,44,15,2.2,9
06/25/2014,44,1620.577,5,42,42,16,0.5,8
06/26/2014,46,1971.2249,5,46,42,14,1.5,14
06/27/2014,46,1478.4249,5,46,28,16,1,18
06/28/2014,47,1584.742,2,47,32,13,0.5,14
06/29/2014,54,1769.4648,2,54,36,11,1.3,8
06/30/2014,54,1762.8173,2,54,55,18,0.8,10
07/01/2014,61,2055.1777,3,61,67,21,0.9,12
07/02/2014,67,2038.669,5,67,54,33,0.5,12
07/03/2014,54,1552.4727,5,45,68,23,0.4,22
07/04/2014,68,2005.167,5,35,26,22,2,11
07/05/2014,43,2077.1897,2,43,45,8,0.7,13
07/06/2014,50,2378.1348,2,50,63,16,0.6,12
07/07/2014,64,2120.9492,5,64,57,20,0.3,16
07/08/2014,57,2240.077,3,54,40,20,0.6,14
07/09/2014,44,1808.1616,5,44,51,11,1.4,22
07/10/2014,61,1822.3372,8,61,51,15,1,22
07/11/2014,112,1632.5955,9,112,55,14,0.8,19
07/12/2014,61,1806.8408,3,61,55,13,0.7,11
07/13/2014,58,1911.573,3,58,55,14,1.4,6
07/14/2014,67,1966.5583,6,67,58,,1.7,22
07/15/2014,58,1297.268,6,41,42,,0.9,22
07/16/2014,44,2102.5913,5,44,40,10,1,22
07/17/2014,47,2265.6106,5,47,44,12,0.9,31
07/18/2014,77,1958.0619,8,77,38,16,1.2,31
07/19/2014,61,1675.4745,3,61,40,15,1,21
07/20/2014,44,1139.3993,3,44,33,10,0.7,11
07/21/2014,51,1154.9836,5,51,38,10,1,12
07/22/2014,40,1253.8606,3,40,48,12,1,16
07/23/2014,71,2289.4714,5,71,30,18,0.9,13
07/24/2014,32,968.0596,9,32,35,7,0.6,9
07/25/2014,49,2089.6924,5,49,43,12,1,25
07/26/2014,77,2189.67,3,77,36,14,0.6,10
07/27/2014,39,1478.2048,3,39,26,8,0.8,6
07/28/2014,43,2379.4116,3,43,30,13,0.9,12
07/29/2014,33,2036.8201,2,33,42,9,0.9,10
07/30/2014,54,1958.3259,2,54,59,15,1.7,22
07/31/2014,61,2773.9067,3,61,58,20,0.7,19
08/01/2014,58,674.5984,3,46,42,19,1.1,10
08/02/2014,47,1235.2386,3,47,51,9,0.6,8
08/03/2014,51,1203.9819,3,39,38,2,1.2,8
08/04/2014,61,1086.7911,5,61,60,11,1,25
08/05/2014,93,2343.268,8,93,62,30,1,29
08/06/2014,64,1801.4259,6,64,52,19,3,17
08/07/2014,52,2198.7827,6,41,51,18,0.5,24
08/08/2014,61,1816.6581,6,61,62,20,1,29
08/09/2014,62,1488.0221,5,49,59,23,1,26
08/10/2014,67,1795.835,5,67,30,17,0.6,13
08/11/2014,42,2049.543,5,42,39,15,1,26
08/12/2014,39,798.17255,8,29,30,6,0.4,29
08/13/2014,43,1730.548,6,43,34,9,0.6,13
08/14/2014,44,2648.0874,3,44,35,13,2.2,13
08/15/2014,49,2506.6396,3,49,39,11,0,26
08/16/2014,84,1892.3787,5,84,53,14,0,28
08/17/2014,53,1816.2179,5,44,51,14,0,15
08/18/2014,51,887.89264,5,40,40,13,0,23
08/19/2014,41,1195.0891,8,41,40,13,0,21
08/20/2014,50,1619.5646,6,50,53,18,1.7,28
08/21/2014,53,1759.8237,6,47,52,17,1.8,25
08/22/2014,52,921.92285,7,36,23,14,0.7,23
08/23/2014,23,716.55286,5,23,29,7,0.7,12
08/24/2014,41,1452.6271,5,41,33,9,1.2,31
08/25/2014,47,1625.5957,6,47,50,15,0.8,27
08/26/2014,67,1836.1165,8,67,60,19,1.9,42
08/27/2014,101,2048.8826,8,101,41,23,1.8,36
08/28/2014,45,1854.6504,6,45,28,15,0.6,10
08/29/2014,48,1656.8085,5,48,38,13,2.2,19
08/30/2014,44,1177.6998,3,44,43,15,1.2,8
08/31/2014,43,2037.9207,3,39,19,12,1.6,7
